Tipo documento;Nacionalidad;GÈnero;Fecha nacimiento;PaÌs residencia;Municipio residencia;Estrato vivienda;Personas hogar;Tiene internet;Tiene computador;Colegio gÈnero;Calendario;Colegio ·rea;Jornada;Lectura crÌtica;DesempeÒo lectura critica;Matem·ticas;DesempeÒo matem·ticas;Ciencias naturales;DesempeÒo naturales;Ciencias sociales;DesempeÒo sociales;Ingles;DesempeÒo ingles;Puntaje global;Percentil global
CC;COLOMBIA;F;29/09/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 6;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;71;4;65;3;69;3;63;3;90;B+;344;78
TI;COLOMBIA;M;19/03/2001;COLOMBIA;CALI;Estrato 5;1 a 2;Si;Si;MIXTO;B;URBANO;COMPLETA;75;4;77;4;100;4;81;4;86;B+;417;100
TI;COLOMBIA;M;31/07/2000;COLOMBIA;CALI;Estrato 1;3 a 4;Si;Si;MIXTO;A;RURAL;SABATINA;42;2;27;1;29;1;36;1;29;A-;166;2
TI;COLOMBIA;F;20/01/2002;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;FEMENINO;B;URBANO;COMPLETA;61;3;62;3;72;4;70;3;79;B+;336;73
TI;COLOMBIA;F;23/10/2001;COLOMBIA;CALI;Estrato 3;3 a 4;No;Si;MIXTO;B;URBANO;MA—ANA;69;4;75;4;67;3;65;3;71;B1;346;79
TI;COLOMBIA;M;20/04/2001;COLOMBIA;YUMBO;Estrato 2;1 a 2;Si;Si;MIXTO;B;URBANO;MA—ANA;49;2;61;3;50;2;55;2;58;A2;270;40
TI;COLOMBIA;F;5/04/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;69;4;52;3;72;4;73;4;76;B1;336;73
TI;COLOMBIA;M;5/11/2001;COLOMBIA;SOLEDAD;Estrato 2;5 a 6;Si;No;MIXTO;A;URBANO;NOCHE;35;1;49;2;45;2;41;2;46;A-;214;16
TI;COLOMBIA;M;3/11/2000;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;3 a 4;Si;Si;MIXTO;B;RURAL;COMPLETA;73;4;53;3;61;3;78;4;83;B+;338;74
CC;COLOMBIA;M;23/09/1999;COLOMBIA;CHÕA;Sin Estrato;Sin Respuesta;Sin respuesta;-;MIXTO;OTRO;URBANO;NOCHE;43;2;46;2;38;1;37;1;45;A-;207;13
CC;COLOMBIA;M;21/08/1999;COLOMBIA;ENVIGADO;Estrato 6;5 a 6;Si;Si;MIXTO;B;RURAL;COMPLETA;62;3;73;4;65;3;65;3;84;B+;338;75
TI;COLOMBIA;M;7/01/2001;COLOMBIA;PALMIRA;Estrato 1;5 a 6;No;No;MIXTO;OTRO;URBANO;SABATINA;52;3;43;2;46;2;38;1;51;A1;226;21
TI;COLOMBIA;M;11/05/2001;COLOMBIA;CALI;Estrato 2;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;63;3;65;3;57;3;66;3;54;A1;310;59
TI;COLOMBIA;F;10/03/2001;COLOMBIA;CALI;Estrato 3;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;59;3;53;3;49;2;50;2;53;A1;264;37
TI;COLOMBIA;M;4/02/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;71;4;68;3;75;4;74;4;83;B+;364;89
TI;COLOMBIA;M;25/05/2002;COLOMBIA;BARRANQUILLA;Estrato 3;Sin Respuesta;Si;-;MIXTO;B;URBANO;COMPLETA;55;3;63;3;63;3;50;2;63;A2;291;49
CC;COLOMBIA;M;3/11/1999;COLOMBIA;BOGOT¡Å D.C.;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;70;4;78;4;72;4;68;3;82;B+;364;89
TI;COLOMBIA;F;10/03/2001;COLOMBIA;EL CERRITO;Estrato 1;3 a 4;Si;Si;MIXTO;B;RURAL;COMPLETA;53;3;55;3;54;2;40;1;66;A2;258;35
TI;COLOMBIA;M;11/02/2001;COLOMBIA;BOGOT¡Å D.C.;Sin Estrato;Sin Respuesta;Sin respuesta;-;MIXTO;OTRO;URBANO;NOCHE;64;3;55;3;55;2;55;2;74;B1;293;50
TI;COLOMBIA;F;4/10/2000;COLOMBIA;PEREIRA;Sin Estrato;1 a 2;Sin respuesta;Si;MIXTO;B;RURAL;COMPLETA;68;4;62;3;60;3;78;4;81;B+;340;76
TI;COLOMBIA;F;11/09/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 4;3 a 4;Si;Si;MIXTO;B;RURAL;COMPLETA;75;4;66;3;77;4;77;4;83;B+;372;92
TI;COLOMBIA;F;10/10/2000;COLOMBIA;POPAY¡N;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;MA—ANA;61;3;60;3;55;2;57;3;60;A2;292;50
